image,caption,short_description,story,story_grounded_ratio,story_entity_coverage,story_names,story_new_characters,story_new_places,story_repairs,flags
101362650.jpg,A group of children are practicing karate .,A group of children practice karate together.,"A group of children gathered around a wooden floor, each with a different colored belt tied around their waist. They practiced martial arts together, moving gracefully through various stances and punches. One child demonstrated a powerful kick while another expertly blocked an attack from behind. Despite the sweat dripping down their faces, their expressions remained focused and determined. Finally, satisfied with their progress, the group took a moment to rest before continuing their training session under the watchful gaze of a few adults who had joined them for support.",0.455,0.5,0,1,1,1,0
101471792.jpg,A man in a red coat is standing in front of a crowd of people .,A man in a red coat stands in front of a crowd of people.,"A man wearing a red coat stands in front of a crowd of people. They look around, curious about him. The man's face shows slight unease, as though he senses something unusual among these strangers. One person approaches cautiously, offering a smile and some conversation. Another person turns away, clearly uncomfortable. The man watches intently, his eyes scanning the faces for any sign of recognition or interest. As the crowd disperses, he steps forward, holding out his hand in greeting. He hopes to make friends within this diverse group.",0.84,1.0,0,0,0,1,1
1015584366.jpg,A black dog is running through the woods .,A black dog runs through the woods.,"A black dog bounded through the woods, its fur glistening in the sunlight. The tall pines towered overhead, casting dappled shadows beneath it. The air was cool and fresh, carrying the scent of pine needles and wildflowers. The dog’s tail swished behind it, eager for another chase. It leaped over fallen logs and ducked under low branches, disappearing into the thickets. As it ran, the dog’s eyes never left the ground, always searching for something elusive. Finally, it came to an abrupt halt near a clearing where the sun shone brightly through the canopy above. The dog lay down panting, its breath visible in the warm breeze.",0.37,1.0,0,0,1,1,1
10188041.jpg,A man in a black suit is standing in front of a red car .,A man in a black suit stands in front of a red car.,"A man in a black suit stands in front of a red car parked on the street corner. The sun filters through the clouds, casting a warm glow over the scene. The man's posture is steady, his expression neutral, as he observes the traffic around him. Occasionally, he checks his watch, indicating he might be waiting for someone or something. His hands are tucked into his pockets, suggesting he prefers to remain unnoticed. As the sound of approaching footsteps grows louder, the man turns his head slightly towards the direction of the commotion, his eyes widening slightly in anticipation. He steps forward cautiously, ready to greet whoever arrives.",0.64,1.0,0,0,1,1,0
1026792563.jpg,A group of people are gathered in a market .,A group of people gathers in an outdoor market.,"A group of people huddled around a colorful stall in the bustling market, each eager to explore the array of fruits, vegetables, and spices. They chatted animatedly, exchanging tips on where to find the freshest produce. One woman pulled a basket from under her arm, her eyes sparkling with excitement. Another man nodded in agreement, his hand resting on his chest, clearly pleased with himself for finding such a good deal.

As they continued their lively conversation, a vendor approached, offering discounts on certain items. The crowd buzzed with anticipation, waiting for him to finalize the deals. Suddenly, a scuffle broke out among some of the younger members, causing a commotion that quickly spread throughout the marketplace. The adults paused momentarily before resuming their discussions, though several still couldn't help but chuckle at the commotion.",0.441,1.0,0,3,0,1,1
1029737941.jpg,A woman in a black shirt is looking at a flower .,A woman in a black shirt looks at an unidentified flower.,"The woman in her black shirt sat cross-legged under an old oak tree, her eyes fixed intently on a delicate white flower nestled among the leaves. Her brow furrowed slightly as she studied its intricate petals and vibrant color. Suddenly, a soft breeze rustled through the branches, causing the flowers to sway gently. The woman's expression changed from concentration to delight as she bent closer to admire the bloom more closely. As she reached for the flower, her fingers brushed against the petal, sending a thrill of joy through her entire body. She pulled the flower closer, planting it carefully back into the soil where she had found it. With a contented sigh, she closed her eyes, feeling the warmth of the sun on her face and the gentle touch of nature around her.",0.516,1.0,0,0,1,1,1
102998070.jpg,A man in a gray shirt and a woman in a white shirt are looking at fish .,A man in a gray shirt looks at a fish while a woman in a white shirt watches.,"A man in a gray shirt and a woman in a white shirt approached a pond. They knelt down beside the water's edge, hands cupping each side of the glassy surface. The man squinted intently, his eyes narrowing slightly as he studied the fish swimming beneath the surface. The woman leaned closer, her lips pursing in concentration. Suddenly, she exclaimed, ""There! I think I see something moving!"" The man nodded, his face lighting up with excitement. He reached for the camera, snapping a few quick shots before turning back to the fish.",0.667,1.0,0,0,2,1,1
1030041880.jpg,A woman in a green dress dances on a stage .,A woman in a green dress dances gracefully on the stage.,"A woman dressed in a green dress stands gracefully on an indoor stage, her movements fluid and precise as she twirls around. Her eyes lock onto a spot directly ahead, lost in concentration. The audience watches intently from various seats positioned around the perimeter, some smiling softly, others clapping rhythmically. The room's soft lighting casts gentle shadows across the stage, highlighting the intricate patterns in her gown. As the music swells, her body becomes more animated, each turn and spin more pronounced. The camera captures every moment, frozen in time, waiting for the perfect shot.",0.56,0.667,0,0,1,1,2
1034276567.jpg,A young boy is eating a sandwich .,A young boy eats a sandwich.,"A young boy was alone outside, sitting on a chair in the sun. He had just finished his lunch, which consisted of a sandwich. Now he sat quietly, enjoying his meal before starting another adventure.",0.429,1.0,0,0,1,1,0
1039637574.jpg,A woman in a white dress is standing next to a man in a black dress .,A woman in a white dress stands next to a man in a black dress.,"The woman in the white dress stood gracefully, her dress flowing slightly behind her. Beside her, the man in the black dress stood stiffly, his expression unreadable. They both seemed lost in their own thoughts, each absorbed in their own world. As the sun set, casting long shadows across the scene, the couple continued to stand together, unaware of the passing hours.",0.667,1.0,0,1,0,1,2
104136873.jpg,A group of people are sitting on a hill overlooking the mountains .,A group of people sits on a hill overlooking the mountains.,"The sun was just beginning to set over the horizon, casting long shadows across the green hills below. A group of friends sat on the hillside, each holding onto a picnic blanket, watching the world slowly turn into twilight. They chatted animatedly, sharing stories from their days spent exploring nature's beauty. As they sat there, looking out at the distant peaks, their laughter mingled with the soft rustling of leaves in the breeze. The sky turned an array of hues, painting the landscape before them like a vibrant canvas.",0.36,0.667,0,0,1,1,0
1043910339.jpg,A baseball player in a red and white uniform is swinging at the ball .,A baseball player swings at the ball during an uncertain action.,"A baseball player in a red and white uniform stands ready at home plate, his eyes fixed intently on the ball rolling towards him. His teammates watch from behind the dugout, some smiling broadly, others fidgeting nervously. As he swings, the bat cracks against the ball, sending it flying through the air toward the outfield. The catcher leaps into action, catching the ball just before it lands, bringing an end to another promising play.",0.579,1.0,0,0,1,1,1
1045309098.jpg,A woman in a white shirt and a man in a black shirt are crossing the street .,A woman in a white shirt crosses the street while a man in a black shirt watches.,"A woman in a white shirt walked briskly across the street, her eyes scanning the surroundings for any potential danger. Behind her, a man in a dark blue jacket was also making his way across the same thoroughfare, determined to reach his destination quickly. As he crossed, he paused briefly to check his watch before continuing his journey. The woman continued her pace, her steps steady and purposeful, while the man glanced back once more before resuming his walk.",0.722,1.0,0,0,0,1,1
104763189.jpg,Two young boys are riding bikes in the grass .,Two young boys ride their bikes in the grass.,"The sun was high in the sky, casting long shadows over the lush green grass beneath the two young boys who had been sitting under an old oak tree. They had been planning this for days, dreaming of the adventure ahead. Suddenly, the first boy shouted ""let's go!"" and with a spring in his step, he pedaled away from the tree towards the rolling hills beyond. His friend followed closely behind, both eager to start the journey. As they rode, the wind tousled their hair and carried the scent of freshly cut grass, filling their lungs with pure joy. Soon, they would reach their destination, where the excitement awaited them.",0.5,0.667,0,1,4,1,0
